Test No.,1,2,3,4,5,6,7,8,9
Probe Position,Pressure (psig),,,,,,,,
1,85,85,85,85,85,85,85,85,85
2,85,85,85,85,85,85,85,85,85
3,85,85,85,85,85,85,85,85,85
4,85,85,85,85,85,85,85,85,85
5,85,85,85,85,85,85,85,85,85
6,85,84.5,84.5,84.5,84.5,85,85,85,85
7,84,84,84,84,84,84,84,84.5,84.5
8,80,78.5,79,79,79,79.5,80,82,83
9,46,44,42,42,44,46,57.5,67.5,76
10,28,28,28,28,28,46,58,67.5,76
11,28,28,28,28,28,50,59.5,68.5,76.5
12,26,26,26,26,26,51,60.5,69,77
13,24,23.5,23,23,25,52,61,69.5,77
14,21.5,21.5,21.5,21,42,53,62,70,77.5
15,21.5,21.5,22,21,44,54,62.5,70.5,77.5
16,20,20,20,20,46.5,55,63,70.5,78
17,19,19,19,19,48,56,63.5,71,78
18,17.5,17.5,17.5,17.5,50,57,64,71.5,78
19,16,16,16,22,51,58,64.5,72,78
20,16,16,16,33.5,52,58.5,65,72,78
21,14.5,14.5,14.5,37,53,59.5,66,72.5,78.25
22,13.5,13,13.5,40,54,60,66,72.5,78.25
23,13,12.5,27,42,55,60.5,66.5,73,78.5
24,11.5,11,32,44,56,61.5,67.5,73.5,78.75
25,10,21.5,35,46,57,62.5,68,74,79
26,5,28,38,48.5,58.5,64,69,74.5,79.5
27,0,30,40,50,60,65,70,75,80
28,0,30,40,50,60,65,70,75,80
29,0,30,40,50,60,65,70,75,80
